編號,菜品名稱,單位,價格
001,菜心,斤,1
0010,西生菜,斤,1
0011,大白菜,斤,1
0012,大白菜膽,斤,1
0013,學斗,斤,1
0014,白菜仔,斤,1
0015,白菜心,斤,1
0016,大椰菜,斤,1
0017,京椰菜,斤,1
0019,椰菜花,斤,1
002,菜心苗,斤,1
0020,紹菜,斤,1
0021,娃娃菜,斤,1
0022,旺菜,斤,1
0023,包芥,斤,1
0024,芥菜,斤,1
0025,芥菜膽,斤,1
0026,小棠菜,斤,1
0027,小棠菜苗,斤,1
0028,菠菜,斤,1
0029,油麥菜,斤,1
003,芥蘭,斤,1
0030,豆苗,斤,1
0031,芥蘭(切料),斤,1
0032,蓎蒿,斤,1
0033,翡翠苗,包,1
0034,西蘭花,斤,1
0035,枸杞,斤,1
0036,皇帝菜,斤,1
0037,美國西芹,斤,1
0038,大陸西芹,斤,1
004,芥蘭苗,斤,1
0040,韭王,斤,1
0041,韭菜花,扎,1
0042,韭菜,斤,1
0043,芹菜,斤,1
0044,蒜心,斤,1
0046,粟米仔,盒,1
0048,鮮露筍,磅,1
005,西洋菜,斤,1
0050,粟米,條,1
0051,西洋菜(切料),斤,1
0053,九牙菜,磅,1
0054,紅毛菜,磅,1
006,莧菜,斤,1
0061,莧菜(切料),斤,1
0063,水東芥菜,斤,1
0064,蕃薯肉,斤,1
0069,福建椰菜花,斤,1
007,白通菜,斤,1
0071,白通菜(切料),斤,1
008,青通菜,斤,1
0081,青通菜(切料),斤,1
009,唐生菜,斤,1
0091,唐生菜(切料),斤,1
01,菜心,斤,1
010,西生菜,斤,1
0101,四季豆,包,1
0103,蜜豆肉,斤,1
0105,荷豆肉,斤,1
0106,白豆角,斤,1
0107,青豆角,斤,1
0108,白蘿蔔,斤,1
0109,白蘿蔔肉,斤,1
011,大白菜,斤,1
011-A,奶白菜,斤,1
0110,紅蘿蔔,斤,1
0111,紅蘿蔔肉,斤,1
0112,青蘿蔔,斤,1
0113,青蘿蔔肉,斤,1
0114,薯仔,斤,1
0115,薯仔肉,斤,1
0118,冬瓜,斤,1
0119,冬瓜肉,斤,1
012,白菜膽,斤,1
0121,節瓜,斤,1
0122,節瓜肉,斤,1
0123,蓮藕,斤,1
0124,蓮藕肉,斤,1
0125,芋頭,斤,1
0126,芋頭肉,斤,1
0127,粉葛,斤,1
0128,粉葛肉,斤,1
0129,沙葛,斤,1
013,學斗,斤,1
0130,沙葛肉,斤,1
0131,蕃薯,斤,1
0133,茄瓜,斤,1
0134,涼瓜,斤,1
0136,合掌瓜,斤,1
0137,合掌瓜肉,斤,1
014,白菜仔,斤,1
0140,勝瓜,斤,1
0141,勝瓜肉,斤,1
0142,老王瓜,斤,1
0143,青木瓜,斤,1
0144,青木瓜肉,斤,1
0145,翠肉瓜,斤,1
0146,青瓜,斤,1
0147,有刺青瓜,斤,1
0148,溫室青瓜,盒,1
0149,蕃茄,斤,1
014A,白菜仔(馬尾),斤,1
015,白菜心,斤,1
0150,車厘茄,斤,1
0152,馬蹄,斤,1
0153,馬蹄肉,斤,1
0159,大丁苦瓜,斤,1
016,大椰菜,斤,1
017,京椰菜,斤,1
0171,京椰菜(切料),斤,1
017A,京椰菜粒,斤,1
018,紫椰菜,斤,1
019,椰菜花,斤,1
0191,椰菜花(切料),斤,1
01A,菜心(尖葉),斤,1
02,菜心苗,斤,1
020,紹菜,斤,1
020-A,津白,斤,1
0201,西椒,斤,1
0202,青尖椒,斤,1
0203,紅椒,斤,1
0204,指天椒,斤,1
0205,紅圓椒,斤,1
0206,黃圓椒,斤,1
0207,薑,斤,1
0208,薑肉,斤,1
021,娃娃菜,包,1
0212,蒜肉,斤,1
0213,蒜茸,斤,1
0214,青蒜,斤,1
0216,干蔥肉,斤,1
0217,干蔥茸,斤,1
0218,京蔥,斤,1
0219,洋蔥,斤,1
022,旺菜,斤,1
0220,洋蔥肉,斤,1
0221,紫洋蔥,斤,1
0222,芫茜,斤,1
0223,番茜,斤,1
0224,蔥肉,斤,1
0228,薑茸,斤,1
022a,細旺菜,斤,1
023,包芥,斤,1
024,芥菜,斤,1
0241,芥菜(切料),斤,1
025,芥菜膽,斤,1
026,小棠菜,斤,1
0261,小棠菜(切料),斤,1
0261-A,小棠菜粒,斤,1
027,小棠菜苗,斤,1
0271,小棠菜苗(切料),斤,1
028,菠菜,斤,1
029,油麥菜,斤,1
0291,油麥菜(切料),斤,1
03,芥蘭,斤,1
030,豆苗,斤,1
0301,金菇,包,1
0302,鮮冬菇,斤,1
0303,雞比菇,斤,1
0304,秀珍菇,斤,1
0306,草菇,磅,1
0307,荼樹菇,斤,1
0308,靈芝菇,包,1
031,豆杯,斤,1
0312,芽菜,斤,1
0313,銀芽,斤,1
0314,大豆芽,斤,1
0315,包仔豆腐,件,1
032,蓎蒿,斤,1
033,翡翠苗,包,1
033a,翡翠苗,盒,1
034,西蘭花,斤,1
0341,西蘭花(切料),斤,1
034A,西蘭花苗,斤,1
035,枸杞,斤,1
036,皇帝菜,扎,1
037,美國西芹,斤,1
038,大陸西芹,斤,1
0381,西芹(切料),斤,1
039,台灣西芹,斤,1
04,芥蘭苗,斤,1
040,韭王,斤,1
0401,咸菜,斤,1
0403,梅菜,斤,1
0405,大頭菜,斤,1
0406,香茅,包,1
0407,檸檬葉,兩,1
0408,薄荷葉,兩,1
041,韭菜花,扎,1
0411,淮山,斤,1
0413,鮮百合,包,1
0414,蓮子肉,包,1
0415,白果肉,包,1
0417,金不換,扎,1
0418,茅根,斤,1
0419,竹蔗,扎,1
042,韭菜,斤,1
0421,栗子肉,包,1
0422,菜甫,斤,1
043,芹菜,斤,1
0431,芹菜肉,斤,1
044,蒜心,斤,1
045,春菜,斤,1
046,粟米仔,盒,1
047,蘿蔔笛,斤,1
048,鮮露筍,磅,1
048A,白露筍,磅,1
049,(泰國)露筍笛,盒,1
05,西洋菜,斤,1
050,粟米,條,1
0501,粟米(切料),條,1
051,珍珠菜,斤,1
052,羅文生菜(斤),斤,1
0521,羅文生菜(磅),磅,1
0529,金瓜,斤,1
053,九牙菜(斤),斤,1
0531,九牙菜(磅),磅,1
053a,九牙(淨菜),磅,1
054,紅毛菜(斤),斤,1
054-1A,綠毛菜 (磅),磅,1
0541,紅毛菜(磅),磅,1
054a,紅毛(淨菜),磅,1
055,椰菜苗,包,1
056,子蘇,兩,1
057,牛油生菜,磅,1
0571,菜心(切料),斤,1
058,秋葵,包,1
059,羅勒,扎,1
06,莧菜,斤,1
060,火箭菜,磅,1
061,也菜苗,斤,1
062,法蔥,兩,1
063,水東芥菜,斤,1
064,蕃薯肉,斤,1
064-A,蕃薯肉 ( 黃肉),斤,1
065,冰菜,斤,1
066,日本蕃薯,斤,1
067,小九菜,斤,1
068,菠菜苗,斤,1
069,福建椰菜花,斤,1
07,白通菜,斤,1
070,細薯仔肉,斤,1
071,法扁豆,盒,1
072,孱菜,斤,1
073,紅莧菜,斤,1
074,新界西洋菜,斤,1
075,紅菜心,斤,1
076,蕎菜,斤,1
077,菠菜葉,斤,1
078,昆明唐生菜,斤,1
079,塔菜,斤,1
07A,水通菜,斤,1
08,青通菜,斤,1
080,大陸露筍,斤,1
081,春菜,斤,1
082,節瓜浦,斤,1
083,塔菜葉,斤,1
084,貢菜,斤,1
085,美國焗薯,斤,1
086,蕃薯苗,斤,1
087, 雞毛菜,斤,1
088,沙津菜,磅,1
089,芥菜苗,斤,1
09,唐生菜,斤,1
090,紅麥菜苗,斤,1
091,象菜,磅,1
0911,有根唐生菜,斤,1
092,龍鬚菜,斤,1
093,銀絲王,斤,1
101,四季豆,包,1
102,蜜豆,斤,1
103,蜜豆肉,斤,1
104,荷豆,斤,1
105,荷豆肉,斤,1
106,白豆角,斤,1
1061,白豆角(切料),斤,1
106A,油豆角,斤,1
107,青豆角,斤,1
1071,青豆角(切料),斤,1
108,白蘿蔔,斤,1
1081,白羅蔔肉(切料),斤,1
109,白蘿蔔肉,斤,1
110,紅蘿蔔,斤,1
111,紅蘿蔔肉,斤,1
1111,紅蘿蔔肉(切料),斤,1
112,青蘿蔔,斤,1
113,青蘿蔔肉,斤,1
1131,青蘿蔔肉(切料),斤,1
114,薯仔,斤,1
115,薯仔肉,斤,1
1151,薯仔肉(切料),斤,1
116,甘筍,斤,1
117,甘筍肉,斤,1
1171,甘荀肉(切料),斤,1
118,冬瓜,斤,1
118-A,灰冬瓜,斤,1
1181,冬瓜(切料),斤,1
119,冬瓜肉,斤,1
120,細冬瓜盅,斤,1
1201,冬瓜盅仔-原條,斤,1
121,節瓜,斤,1
122,節瓜肉,斤,1
1221,節瓜肉(切料),斤,1
123,蓮藕,斤,1
124,蓮藕肉,斤,1
1241,蓮藕肉(切料),斤,1
124a,蓮藕苗,斤,1
125,芋頭,斤,1
126,芋頭肉,斤,1
1261,芋頭肉(切料),斤,1
126A,泰國芋頭肉,斤,1
127,粉葛,斤,1
128,粉葛肉,斤,1
1281,粉葛肉(切料),斤,1
129,沙葛,斤,1
130,沙葛肉,斤,1
1301,沙葛肉(切料),斤,1
131,蕃薯,斤,1
131A,蕃薯(紅皮黃肉),斤,1
131B,糖心蕃薯,斤,1
132,紫心蕃薯,斤,1
133,茄瓜,斤,1
1331,茄瓜(切料),斤,1
133A,太空茄,斤,1
133a,茄子(綠),斤,1
134,涼瓜,斤,1
1341,涼瓜(切料),斤,1
135,涼瓜肉,斤,1
136,合掌瓜,斤,1
137,合掌瓜肉,斤,1
1371,合掌瓜肉(切料),斤,1
138,南瓜,斤,1
139,南瓜肉,斤,1
1391,南瓜肉(切料),斤,1
140,勝瓜,斤,1
141,勝瓜肉,斤,1
1411,勝瓜肉(切料),斤,1
142,老黃瓜,斤,1
142-A,老黃瓜肉(有皮),斤,1
1421,老黃瓜(切料),斤,1
142a,老黃瓜肉,斤,1
143,青木瓜,斤,1
144,青木瓜肉,斤,1
1441,青木瓜肉(切料),斤,1
145,翠肉瓜,斤,1
1451,翠肉瓜(切料),斤,1
146,青瓜,斤,1
147,有刺青瓜,斤,1
1471,有刺青瓜肉,斤,1
148,溫室青瓜,斤,1
148a,溫室青瓜(大),斤,1
149,蕃茄,斤,1
1491,蕃茄(切料),斤,1
150,車厘茄,斤,1
150A,車厘茄 (橙色),斤,1
150a,黃車尼茄,斤,1
151,大蕃茄,斤,1
152,馬蹄,斤,1
153,馬蹄肉,斤,1
153-A,珍珠馬碲,包,1
1531,馬蹄肉(切料),斤,1
154,熟木瓜,個,1
155,(大陸)秋葵,包,1
156,熟木瓜肉,斤,1
157,意大利青瓜,斤,1
158,意大利黃瓜,斤,1
159,大丁苦瓜,斤,1
1591,大丁苦瓜肉,斤,1
160,手指茄子,斤,1
161,紫蕃薯肉,斤,1
1611,紫蕃薯肉(切料),斤,1
162,冬瓜環,斤,1
163,日本南瓜,斤,1
163A,日本南瓜肉,斤,1
164,芋頭仔,斤,1
165,(橙)車厘茄,斤,1
166,粟米肉,條,1
167,串番茄,盒,1
168,蕃薯苗,斤,1
169,蕃茄仔,斤,1
170,新鮮花椒,包,1
171,新薯,斤,1
172,冬瓜仔,斤,1
173,南瓜仔,斤,1
174,白茄子,斤,1
175,水瓜,斤,1
176,紫心蕃薯肉,斤,1
177,泥紅卜,斤,1
178,青南瓜,斤,1
179,龍鬚豆,斤,1
180,半殼板粟,斤,1
181,粟米鬚,斤,1
182,烤夫,斤,1
183,馬蹄筍,斤,1
184,茭白筍,斤,1
185,竹芋,斤,1
201,西椒,斤,1
2011,西椒(切料),斤,1
202,青尖椒,斤,1
203,紅椒,斤,1
2031,紅椒(切料),斤,1
204,指天椒,斤,1
2041,指天椒(切料),斤,1
204a,青指天椒,斤,1
205,紅圓椒,斤,1
2051,紅圓椒(切料),斤,1
206,黃圓椒,斤,1
2061,黃圓椒(切料),斤,1
2062,泡椒,包,1
207,薑,斤,1
208,薑肉,斤,1
2081,薑肉(切料),斤,1
209,老薑,斤,1
210,南薑,斤,1
211,蒜頭,斤,1
211A,泰國蒜頭,斤,1
212,蒜肉,斤,1
213,蒜茸,斤,1
214,青蒜,斤,1
215,干蔥,斤,1
215A,泰國乾蔥頭,斤,1
216,干蔥肉,斤,1
217,干蔥茸,斤,1
218,京蔥,斤,1
2181,京蔥肉,斤,1
219,洋蔥,斤,1
220,洋蔥肉,斤,1
2201,洋蔥肉(切料),斤,1
221,紫洋蔥,斤,1
222,芫茜,斤,1
222a,泰國莞茜,斤,1
223,番茜,斤,1
224,蔥肉,斤,1
2241,蔥肉(切料),斤,1
225,螺絲椒,斤,1
226,青指天椒,斤,1
227,沙薑,斤,1
228,薑茸,斤,1
229,紅頭蔥肉,斤,1
230,紫洋蔥肉,斤,1
231,獨子蒜,斤,1
232,濕炸枝竹,包,1
233,冰豆腐,包,1
234,菜乾,斤,1
235,冬菜,斤,1
236,(泰國)秋葵,包,1
237,天山雪蓮,斤,1
238,涼粉,斤,1
239,百里香,扎,1
240,露絲馬利,扎,1
241,子薑,斤,1
242,食用花,盒,1
243,班蘭葉,包,1
244,泰國南薑,斤,1
245,羽衣甘蘭,斤,1
246,去定指天椒,斤,1
246a,去定青指天椒,斤,1
247,回香草,斤,1
248,湖南青辣椒,斤,1
248a,綠線椒,斤,1
249,海花紅椒,斤,1
250,黃薑,斤,1
250A,黃薑(泰國),斤,1
251,刁草,兩,1
252,雲南椒,斤,1
253,意番茜,兩,1
254,日本大頁,盒,1
255,甘筍仔(有葉),盒,1
256,牛茄,斤,1
257,菊花(白),技,1
258,水支竹,條,1
259,美國芽菜,盒,1
260,枇杷葉,斤,1
261,龍蒿(他力根),扎,1
262,玫瑰花,枝,1
263,滿天星,枝,1
264,甘筍仔,斤,1
265,鮮花,枝,1
266,馬祖林 (Marjoram),扎,1
267,雪耳,斤,1
268,牛至(Oregano),扎,1
269,加州蕃茄,斤,1
270,西芹頭,斤,1
271,花生牙,包,1
272,鼠尾草(Sage),扎,1
273,紅蔥頭,斤,1
274,日本竹葉,盒,1
275,羅漢果,個,1
276,甜菜葉,盒,1
277,芥蘭頭,斤,1
278,英芫茜,兩,1
279,辣椒(墨西哥),斤,1
301,金菇,包,1
302,鮮冬菇(斤),斤,1
3021,冬菇(切料-斤),斤,1
3021A,鮮冬菇(切料-磅),磅,1
302A,鮮冬菇(磅),磅,1
303,雞比菇(斤),斤,1
3031,雞肶菇(切料),斤,1
303A,雞肶菇(磅),磅,1
304,秀珍菇(斤),斤,1
304A,秀珍菇(磅),磅,1
305,鮑魚菇,包,1
306,草菇(磅),磅,1
307,茶樹菇,斤,1
308,靈芝菇,包,1
309,海鮮菇,包,1
3091,海鮮菇 (大包),包,1
310,白磨菇(盒),盒,1
311,白磨菇(斤),斤,1
312,芽菜仔,斤,1
313,銀芽,斤,1
314,大豆芽菜,斤,1
315,包仔豆腐,件,1
315a,包仔豆腐,件,1
316,玉子豆腐,條,1
317,豆卜,斤,1
317-1,長豆卜(豆片),斤,1
317A,珍珠豆卜,斤,1
318,蒸煮百福豆腐,盒,1
319,板豆腐,件,1
3191,板豆腐,板,1
3191A,軟豆腐,板,1
320,炸豆腐,件,1
321,鮮腐竹,包,1
322,生根,串,1
323,炸枝竹,包,1
3231,枝竹,斤,1
324,素雞,條,1
325,芋絲,盒,1
326,黃豆干,件,1
